# T[GeV]  muB[GeV]  eps[fm-4]  nB[fm-3]  muQ[GeV]  muS[GeV]  P[fm-4]  residual
0.165803 0.406466 0.800000 0.270588 -0.012447 0.116666 0.132560 0.000000
0.170705 0.385913 0.900000 0.270588 -0.012974 0.115470 0.152711 0.000000
0.174792 0.369749 1.000000 0.270588 -0.013396 0.114035 0.172187 0.000000
0.000000 1.050000 0.000000 0.311765 -0.050000 -0.050000 0.000000 1.000000
0.020000 1.050000 0.100000 0.311765 -0.050000 -0.050000 0.031287 0.666806
0.392977 -0.050000 0.200000 0.311765 0.050000 0.023128 11.137446 38.560604
0.020000 1.009110 0.300000 0.311765 -0.017816 0.150798 0.014524 0.153951
0.098804 0.790467 0.400000 0.311765 -0.018751 0.190476 0.035559 0.000000
0.125476 0.648844 0.500000 0.311765 -0.017162 0.163065 0.054118 0.000000
0.142794 0.549162 0.600000 0.311765 -0.014122 0.140884 0.078629 0.000000
0.155310 0.492820 0.700000 0.311765 -0.012214 0.130619 0.109816 0.000000
0.163006 0.459079 0.800000 0.311765 -0.012663 0.129573 0.134101 0.000000
0.168563 0.435140 0.900000 0.311765 -0.013523 0.128880 0.155161 0.000000
0.173039 0.416770 1.000000 0.311765 -0.014268 0.127738 0.175081 0.000000
0.000000 1.050000 0.000000 0.352941 -0.050000 -0.050000 0.000000 1.000000
0.020000 1.050000 0.100000 0.352941 -0.050000 -0.050000 0.031287 0.646586
0.020000 1.050000 0.200000 0.352941 -0.050000 -0.050000 0.031287 0.561385
0.020000 1.050000 0.300000 0.352941 -0.050000 0.170406 0.030621 0.507588
0.076182 0.891710 0.400000 0.352941 -0.021813 0.199916 0.029397 0.000000
0.113470 0.732933 0.500000 0.352941 -0.018224 0.186958 0.049464 0.000000
0.133700 0.623770 0.600000 0.352941 -0.016514 0.160125 0.071490 0.000000
0.150215 0.551407 0.700000 0.352941 -0.012887 0.143457 0.107987 0.000000
0.159594 0.511240 0.800000 0.352941 -0.012500 0.141244 0.135082 0.000000
0.166015 0.482805 0.900000 0.352941 -0.013519 0.140968 0.157224 0.000000
0.171007 0.461518 1.000000 0.352941 -0.014618 0.140207 0.177716 0.000000
0.000000 1.050000 0.000000 0.394118 -0.050000 -0.050000 0.000000 1.000000
0.020000 1.050000 0.100000 0.394118 -0.050000 -0.050000 0.031287 0.628417
0.020000 1.050000 0.200000 0.394118 -0.050000 0.400000 0.030806 0.563584
0.020000 1.050000 0.300000 0.394118 -0.050000 -0.050000 0.031287 0.457239
0.035899 0.992386 0.400000 0.394118 -0.024025 0.144819 0.018290 0.000000
0.098299 0.818390 0.500000 0.394118 -0.019903 0.206977 0.044151 0.000000
0.123354 0.698411 0.600000 0.394118 -0.018190 0.180460 0.065056 0.000000
0.143528 0.612991 0.700000 0.394118 -0.014662 0.157122 0.103906 0.000000
0.155438 0.564481 0.800000 0.394118 -0.012469 0.152187 0.135574 0.000000
0.162948 0.530512 0.900000 0.394118 -0.013067 0.151851 0.158888 0.000000
0.168623 0.505340 1.000000 0.394118 -0.014424 0.151565 0.180076 0.000000
0.000000 1.050000 0.000000 0.435294 -0.050000 -0.050000 0.000000 1.000000
