# T[GeV]  muB[GeV]  eps[GeV/fm^3]  nB[1/fm^3]  muQ[GeV]  muS[GeV]  P[GeV/fm^3]  residual
0.168376 0.340266 0.800000 0.225000 -0.013393 0.096841 0.129465 0.000000
0.170684 0.330414 0.850000 0.225000 -0.013342 0.095618 0.139297 0.000000
0.172794 0.321833 0.900000 0.225000 -0.013299 0.094553 0.148996 0.000000
0.174747 0.314252 0.950000 0.225000 -0.013267 0.093610 0.158626 0.000000
0.176576 0.307478 1.000000 0.225000 -0.013244 0.092765 0.168235 0.000000
0.000000 0.928055 0.000000 0.250000 -0.017461 0.150442 0.000000 1.000000
0.033603 0.902581 0.050000 0.250000 -0.015324 0.127651 0.001489 0.200000
0.034181 0.928055 0.100000 0.250000 -0.017461 0.150442 0.003429 0.150000
0.033176 0.947434 0.150000 0.250000 -0.018739 0.174010 0.005376 0.100000
0.031808 0.962683 0.200000 0.250000 -0.019610 0.199956 0.007318 0.050000
0.030341 0.975192 0.250000 0.250000 -0.020305 0.225475 0.009259 0.000000
0.086974 0.820814 0.300000 0.250000 -0.020648 0.199520 0.024213 0.000000
0.108848 0.714543 0.350000 0.250000 -0.015967 0.173834 0.033801 0.000000
0.122527 0.634963 0.400000 0.250000 -0.014235 0.158982 0.042884 0.000000
0.132228 0.573008 0.450000 0.250000 -0.013942 0.146025 0.051865 0.000000
0.139892 0.522309 0.500000 0.250000 -0.014024 0.133528 0.061428 0.000000
0.146536 0.479695 0.550000 0.250000 -0.014193 0.123803 0.072430 0.000000
0.152294 0.445948 0.600000 0.250000 -0.014369 0.117423 0.084722 0.000000
0.157067 0.420847 0.650000 0.250000 -0.014515 0.113500 0.097190 0.000000
0.160963 0.401994 0.700000 0.250000 -0.014609 0.110869 0.109023 0.000000
0.164213 0.387082 0.750000 0.250000 -0.014651 0.108855 0.120111 0.000000
0.167010 0.374706 0.800000 0.250000 -0.014656 0.107175 0.130629 0.000000
0.169486 0.364086 0.850000 0.250000 -0.014638 0.105711 0.140766 0.000000
0.171724 0.354770 0.900000 0.250000 -0.014610 0.104410 0.150664 0.000000
0.173780 0.346476 0.950000 0.250000 -0.014578 0.103241 0.160425 0.000000
0.175693 0.339013 1.000000 0.250000 -0.014548 0.102184 0.170119 0.000000
0.000000 0.947434 0.000000 0.275000 -0.018739 0.174010 0.000000 1.000000
0.033603 0.902581 0.050000 0.275000 -0.015324 0.127651 0.001489 0.225000
0.034181 0.928055 0.100000 0.275000 -0.017461 0.150442 0.003429 0.175000
0.033176 0.947434 0.150000 0.275000 -0.018739 0.174010 0.005376 0.125000
0.031808 0.962683 0.200000 0.275000 -0.019610 0.199956 0.007318 0.075000
0.030341 0.975192 0.250000 0.275000 -0.020305 0.225475 0.009259 0.025000
0.066554 0.902405 0.300000 0.275000 -0.023878 0.219656 0.019746 0.000000
0.096930 0.785782 0.350000 0.275000 -0.018884 0.193613 0.030633 0.000000
0.114053 0.696958 0.400000 0.275000 -0.015551 0.173109 0.039861 0.000000
0.125761 0.627832 0.450000 0.275000 -0.014426 0.160565 0.048972 0.000000
0.134541 0.572584 0.500000 0.275000 -0.014267 0.148370 0.058328 0.000000
0.141942 0.526109 0.550000 0.275000 -0.014436 0.137334 0.068991 0.000000
0.148594 0.487488 0.600000 0.275000 -0.014785 0.129433 0.081766 0.000000
0.154263 0.458467 0.650000 0.275000 -0.015190 0.124718 0.095606 0.000000
0.158793 0.437486 0.700000 0.275000 -0.015513 0.121770 0.108742 0.000000
0.162443 0.421384 0.750000 0.275000 -0.015715 0.119537 0.120708 0.000000
0.165504 0.408166 0.800000 0.275000 -0.015819 0.117630 0.131772 0.000000
0.168166 0.396826 0.850000 0.275000 -0.015859 0.115927 0.142248 0.000000
